customer_id,transaction_date,product_id,quantity,amount
1,2022-01-01,101,1,10
2,2022-01-02,102,2,20
3,2022-01-03,103,1,30
4,2022-01-04,104,2,40
5,2022-01-05,105,3,50
6,2022-01-06,106,2,60
7,2022-01-07,107,1,70
8,2022-01-08,108,3,80
9,2022-01-09,109,1,90
10,2022-01-10,110,2,100
1,2022-01-11,101,1,10
2,2022-01-12,102,2,20
3,2022-01-13,103,1,30
4,2022-01-14,104,2,40
5,2022-01-15,105,3,50
6,2022-01-16,106,2,60
7,2022-01-17,107,1,70
8,2022-01-18,108,3,80
9,2022-01-19,109,1,90
10,2022-01-20,110,2,100
1,2022-01-21,101,1,10
2,2022-01-22,102,2,20
3,2022-01-23,103,1,30
4,2022-01-24,104,2,40
5,2022-01-25,105,3,50
6,2022-01-26,106,2,60
7,2022-01-27,107,1,70
8,2022-01-28,108,3,80
9,2022-01-29,109,1,90
10,2022-01-30,110,2,100
1,2022-01-31,101,1,10
2,2022-02-01,102,2,20
3,2022-02-02,103,1,30
4,2022-02-03,104,2,40
5,2022-02-04,105,3,50
6,2022-02-05,106,2,60
7,2022-02-06,107,1,70
8,2022-02-07,108,3,80
9,2022-02-08,109,1,90
10,2022-02-09,110,2,100
1,2022-02-10,101,1,10
2,2022-02-11,102,2,20
3,2022-02-12,103,1,30
4,2022-02-13,104,2,40
5,2022-02-14,105,3,50
6,2022-02-15,106,2,60
7,2022-02-16,107,1,70
8,2022-02-17,108,3,80
9,2022-02-18,109,1,90
10,2022-02-19,110,2,100
1,2022-02-20,101,1,10
2,2022-02-21,102,2,20
3,2022-02-22,103,1,30
4,2022-02-23,104,2,40
5,2022-02-24,105,3,50
6,2022-02-25,106,2,60
7,2022-02-26,107,1,70
8,2022-02-27,108,3,80
9,2022-02-28,109,1,90
10,2022-03-01,110,2,100
1,2022-03-02,101,1,10
2,2022-03-03,102,2,20
3,2022-03-04,103,1,30
4,2022-03-05,104,2,40
5,2022-03-06,105,3,50
6,2022-03-07,106,2,60
7,2022-03-08,107,1,70
8,2022-03-09,108,3,80
9,2022-03-10,109,1,90
10,2022-03-11,110,2,100
1,2022-03-12,101,1,10
2,2022-03-13,102,2,20
3,2022-03-14,103,1,30
4,2022-03-15,104,2,40
5,2022-03-16,105,3,50
6,2022-03-17,106,2,60
7,2022-03-18,107,1,70
8,2022-03-19,108,3,80
9,2022-03-20,109,1,90
10,2022-03-21,110,2,100
1,2022-03-22,101,1,10
2,2022-03-23,102,2,20
3,2022-03-24,103,1,30
4,2022-03-25,104,2,40
5,2022-03-26,105,3,50
6,2022-03-27,106,2,60
7,2022-03-28,107,1,70
8,2022-03-29,108,3,80
9,2022-03-30,109,1,90
10,2022-03-31,110,2,100
1,2022-04-01,101,1,10
2,2022-04-02,102,2,20
3,2022-04-03,103,1,30
4,2022-04-04,104,2,40
5,2022-04-05,105,3,50
6,2022-04-06,106,2,60
7,2022-04-07,107,1,70
8,2022-04-08,108,3,80
9,2022-04-09,109,1,90
10,2022-04-10,110,2,100
